text,cluster,similarity,place,Characters_nltk,Places_nltk,Characters_bert,Places_bert
"“That’s where I’m bound,” the youth said. As she had suspected, he was more interested in telling his own story than in hearing theirs. Singers loved nothing half so well as the sound of their own voices. “The Hand’s tourney means rich lords with fat purses. The last time I came away with more silver than I could carry… or would have, if I hadn’t lost it all betting on the Kingslayer to win the day.”“The gods frown on the gambler,” Ser Rodrik said sternly. He was of the north, and shared the Stark views on tournaments.“They frowned on me, for certain,” the singer said. “Your cruel gods and the Knight of Flowers altogether did me in.”“No doubt that was a lesson for you,” Ser Rodrik said.“It was. This time my coin will champion Ser Loras.”Ser Rodrik tried to tug at whiskers that were not there, but before he could frame a rebuke the serving boy came scurrying up. He laid trenchers of bread before them and filled them with chunks of browned meat off a skewer, dripping with hot juice. Another skewer held tiny onions, fire peppers, and fat mushrooms. Ser Rodrik set to lustily as the lad ran back to fetch them beer.",Traditions and sex,0.9999999968132718,3036,"['Rodrik Stark', 'Serra', 'Roderick Stark']",[],"['Raynald Westerling', 'Florian the Fool', 'Loras Tyrell', 'Sarra Stark', 'Rodrik Stark']",[]
"Somewhere the gold cloaks found a litter, but the trip back to the castle was a blur of agony, and Ned lost consciousness more than once. He remembered seeing the Red Keep looming ahead of him in the first grey light of dawn. The rain had darkened the pale pink stone of the massive walls to the color of blood.Then Grand Maester Pycelle was looming over him, holding a cup, whispering, “Drink, my lord. Here. The milk of the poppy, for your pain.” He remembered swallowing, and Pycelle was telling someone to heat the wine to boiling and fetch him clean silk, and that was the last he knew.",Intimate moments,0.9999999968132718,4036,"['Pycelle', 'Eddard Stark', 'Trystane Martell', 'Garth the Gardener']",[],"['Eddard Stark', 'Pycelle']",[' Red Keep']
"The procession waited on the grassy shore as Dany stripped and let her soiled clothing fall to the ground. Naked, she stepped gingerly into the water. Irri said the lake had no bottom, but Dany felt soft mud squishing between her toes as she pushed through the tall reeds. The moon floated on the still black waters, shattering and re-forming as her ripples washed over it. Goose pimples rose on her pale skin as the coldness crept up her thighs and kissed her lower lips. The stallion’s blood had dried on her hands and around her mouth. Dany cupped her fingers and lifted the sacred waters over her head, cleansing herself and the child inside her while the khal and the others looked on. She heard the old women of the dosh khaleen muttering to each other as they watched, and wondered what they were saying.",Intimate moments,0.999999995763074,5207,"['Daenerys Targaryen', 'Irri']",[],"['Daenerys Targaryen', 'Drogo', 'Irri']",[' dosh khaleen']
"The procession waited on the grassy shore as Dany stripped and let her soiled clothing fall to the ground. Naked, she stepped gingerly into the water. Irri said the lake had no bottom, but Dany felt soft mud squishing between her toes as she pushed through the tall reeds. The moon floated on the still black waters, shattering and re-forming as her ripples washed over it. Goose pimples rose on her pale skin as the coldness crept up her thighs and kissed her lower lips. The stallion’s blood had dried on her hands and around her mouth. Dany cupped her fingers and lifted the sacred waters over her head, cleansing herself and the child inside her while the khal and the others looked on. She heard the old women of the dosh khaleen muttering to each other as they watched, and wondered what they were saying.When she emerged from the lake, shivering and dripping, her handmaid Doreah hurried to her with a robe of painted sandsilk, but Khal Drogo waved her away. He was looking on her swollen breasts and the curve of her belly with approval, and Dany could see the shape of his manhood pressing through his horsehide trousers, below the heavy gold medallions of his belt. She went to him and helped him unlace. Then her huge khal took her by the hips and lifted her into the air, as he might lift a child. The bells in his hair rang softly.",Intimate moments,0.999999995763074,5208,"['Daenerys Targaryen', 'Doreah', 'Drogo', 'Irri']",[],"['Daenerys Targaryen', 'Doreah', 'Drogo', 'Irri']",[' dosh khaleen']
"“They are my gods too,” Osha said. “Beyond the Wall, they are the only gods.” Her hair was growing out, brown and shaggy. It made her look more womanly, that and the simple dress of brown roughspun they’d given her when they took her mail and leather. “Gage lets me have my prayers from time to time, when I feel the need, and I let him do as he likes under my skirt, when he feels the need. It’s nothing to me. I like the smell of flour on his hands, and he’s gentler than Stiv.” She gave an awkward bow. “I’ll leave you. There’s pots that want scouring.”“No, stay,” Bran commanded her. “Tell me what you meant, about hearing the gods.”Osha studied him. “You asked them and they’re answering. Open your ears, listen, you’ll hear.”Bran listened. “It’s only the wind,” he said after a moment, uncertain. “The leaves are rustling.”",Intimate moments,0.9999999968132718,6113,"['Bran Stark', 'Osha']",[],"['Stiv', 'Bran Stark', 'Gage', 'Osha']",[' Wall']
"The wine merchant dropped to his knees. “Princess,” he said, bowing his head.“Rise,” Dany commanded him. “I would still like to taste that summerwine you spoke of.”The man bounded to his feet. “That? Dornish swill. It is not worthy of a princess. I have a dry red from the Arbor, crisp and delectable. Please, let me give you a cask.”Khal Drogo’s visits to the Free Cities had given him a taste for good wine, and Dany knew that such a noble vintage would please him. “You honor me, ser,” she murmured sweetly.",Intimate moments,0.9999999968132718,6240,"['Daenerys Targaryen', 'Laswell Peake', 'Drogo']",[],"['Daenerys Targaryen', 'Drogo']","[' Arbor', ' Free Cities']"
"The tent was drenched in shadow, still and close. Flakes of ash drifted upward from a brazier, and Dany followed them with her eyes through the smoke hole above. Flying, she thought. I had wings, I was flying. But it was only a dream. “Help me,” she whispered, struggling to rise. “Bring me…” Her voice was raw as a wound, and she could not think what she wanted. Why did she hurt so much? It was as if her body had been torn to pieces and remade from the scraps. “I want…”“Yes, Khaleesi.” Quick as that Jhiqui was gone, bolting from the tent, shouting. Dany needed… something… someone… what? It was important, she knew. It was the only thing in the world that mattered. She rolled onto her side and got an elbow under her, fighting the blanket tangled about her legs. It was so hard to move. The world swam dizzily. I have to…",Intimate moments,0.999999995763074,7946,"['Daenerys Targaryen', 'Jhiqui']",[],"['Daenerys Targaryen', 'Jhiqui']",[]
"The tent was drenched in shadow, still and close. Flakes of ash drifted upward from a brazier, and Dany followed them with her eyes through the smoke hole above. Flying, she thought. I had wings, I was flying. But it was only a dream. “Help me,” she whispered, struggling to rise. “Bring me…” Her voice was raw as a wound, and she could not think what she wanted. Why did she hurt so much? It was as if her body had been torn to pieces and remade from the scraps. “I want…”“Yes, Khaleesi.” Quick as that Jhiqui was gone, bolting from the tent, shouting. Dany needed… something… someone… what? It was important, she knew. It was the only thing in the world that mattered. She rolled onto her side and got an elbow under her, fighting the blanket tangled about her legs. It was so hard to move. The world swam dizzily. I have to…They found her on the carpet, crawling toward her dragon eggs. Ser Jorah Mormont lifted her in his arms and carried her back to her sleeping silks, while she struggled feebly against him. Over his shoulder she saw her three handmaids, Jhogo with his little wisp of mustache, and the flat broad face of Mirri Maz Duur. “I must,” she tried to tell them, “I have to…”",Intimate moments,0.999999995763074,7947,"['Irri', 'Jhogo', 'Mirri Maz Duur', 'Jhiqui', 'Serra', 'Daenerys Targaryen', 'Jorah Mormont']",[],"['Jhogo', 'Mirri Maz Duur', 'Jhiqui', 'Daenerys Targaryen', 'Jorah Mormont']",[]
"For thousands of years, raiders from the Iron Islands—called “ironmen” by those they plundered—were the terrors of the seas, sailing as far as the Port of Ibben and the Summer Isles. They prided themselves on their fierceness in battle and their sacred freedoms. Each island had its own “salt king” and “rock king.” The High King of the Isles was chosen from among their number, until King Urron made the throne hereditary by murdering the other kings when they assembled for a choosing. Urron’s own line was extinguished a thousand years later when the Andals swept over the islands. The Greyjoys, like other island lords, intermarried with the conquerors.",Traditions and sex,0.9999999953541407,8576,['Urron Greyiron'],[],"['Goren Greyjoy', 'Urron Greyiron']","[' Iron Islands', ' Port of Ibben', ' Summer Isles', ' the Isles']"
"Even for a fool, Patchface was a sorry thing. Perhaps once he could evoke gales of laughter with a quip, but the sea had taken that power from him, along with half his wits and all his memory. He was soft and obese, subject to twitches and trembles, incoherent as often as not. The girl was the only one who laughed at him now, the only one who cared if he lived or died.An ugly little girl and a sad fool, and maester makes three… now there is a tale to make men weep. “Sit with me, child.” Cressen beckoned her closer. “This is early to come calling, scarce past dawn. You should be snug in your bed.”“I had bad dreams,” Shireen told him. “About the dragons. They were coming to eat me.”",Intimate moments,0.9999999968132718,8647,"['Patchface', 'Shireen Baratheon', 'Cressen']",[],"['Patchface', 'Shireen Baratheon', 'Cressen']",[]
"Cressen no longer recalled the name the Asshai’i gave the leaf, or the Lysene poisoners the crystal. In the Citadel, it was simply called the strangler. Dissolved in wine, it would make the muscles of a man’s throat clench tighter than any fist, shutting off his windpipe. They said a victim’s face turned as purple as the little crystal seed from which his death was grown, but so too did a man choking on a morsel of food.And this very night Lord Stannis would feast his bannermen, his lady wife… and the red woman, Melisandre of Asshai.",Intimate moments,0.9999999968132718,8809,['Stafford Lannister'],[],"['Melisandre', 'Satin', 'Cressen']","[' Citadel', ' Asshai']"
"She did. “I have never seen the Iron Islands.”“Count yourself fortunate.” Theon stroked her hair. it was fine and dark, though the wind had made a tangle of it. “The islands are stern and stony places, scant of comfort and bleak of prospect. Death is never far here, and life is mean and meager. Men spend their nights drinking ale and arguing over whose lot is worse, the fisherfolk who fight the sea or the farmers who try and scratch a crop from the poor thin soil. If truth be told, the miners have it worse than either, breaking their backs down in the dark, and for what? Iron, lead, tin, those are our treasures. Small wonder the ironmen of old turned to raiding.”",Traditions and sex,0.9999999953541407,10209,[],[],['The Stonehouse'],[' Iron Islands']
"“Count yourself fortunate.” Theon stroked her hair. it was fine and dark, though the wind had made a tangle of it. “The islands are stern and stony places, scant of comfort and bleak of prospect. Death is never far here, and life is mean and meager. Men spend their nights drinking ale and arguing over whose lot is worse, the fisherfolk who fight the sea or the farmers who try and scratch a crop from the poor thin soil. If truth be told, the miners have it worse than either, breaking their backs down in the dark, and for what? Iron, lead, tin, those are our treasures. Small wonder the ironmen of old turned to raiding.”",Suggestive tension,0.9999999953541407,10210,[],[],['The Stonehouse'],[]
"“Count yourself fortunate.” Theon stroked her hair. it was fine and dark, though the wind had made a tangle of it. “The islands are stern and stony places, scant of comfort and bleak of prospect. Death is never far here, and life is mean and meager. Men spend their nights drinking ale and arguing over whose lot is worse, the fisherfolk who fight the sea or the farmers who try and scratch a crop from the poor thin soil. If truth be told, the miners have it worse than either, breaking their backs down in the dark, and for what? Iron, lead, tin, those are our treasures. Small wonder the ironmen of old turned to raiding.”The stupid girl did not seem to be listening. “I could go ashore with you,” she said. “I would, if it please you…”“You could go ashore,” Theon agreed, squeezing her breast, “but not with me, I fear.”",Suggestive tension,0.9999999953541407,10212,[],[],['The Stonehouse'],[]
"“Count yourself fortunate.” Theon stroked her hair. it was fine and dark, though the wind had made a tangle of it. “The islands are stern and stony places, scant of comfort and bleak of prospect. Death is never far here, and life is mean and meager. Men spend their nights drinking ale and arguing over whose lot is worse, the fisherfolk who fight the sea or the farmers who try and scratch a crop from the poor thin soil. If truth be told, the miners have it worse than either, breaking their backs down in the dark, and for what? Iron, lead, tin, those are our treasures. Small wonder the ironmen of old turned to raiding.”The stupid girl did not seem to be listening. “I could go ashore with you,” she said. “I would, if it please you…”“You could go ashore,” Theon agreed, squeezing her breast, “but not with me, I fear.”“I’d work in your castle, milord. I can clean fish and bake bread and churn butter. Father says my peppercrab stew is the best he’s ever tasted. You could find me a place in your kitchens and I could make you peppercrab stew.”",Suggestive tension,0.9999999953541407,10213,['Hareth'],[],['The Stonehouse'],[]
"His thumb brushed lightly over her full lips. “It’s what those lips were made for, sweetling. If you were my salt wife, you’d do as I command.”She was timid at first, but learned quickly for such a stupid girl, which pleased him. Her mouth was as wet and sweet as her cunt, and this way he did not have to listen to her mindless prattle. Once I would have kept her as a salt wife in truth, he thought to himself as he slid his fingers through her tangled hair. Once. When we still kept the Old Way, lived by the axe instead of the pick, taking what we would, be it wealth, women, or glory. In those days, the ironborn did not work mines; that was labor for the captives brought back from the hostings, and so too the sorry business of farming and tending goats and sheep. War was an ironman’s proper trade. The Drowned God had made them to reave and rape, to carve out kingdoms and write their names in fire and blood and song.",Traditions and sex,0.9999999953541407,10223,[],[],[],[]
"She was timid at first, but learned quickly for such a stupid girl, which pleased him. Her mouth was as wet and sweet as her cunt, and this way he did not have to listen to her mindless prattle. Once I would have kept her as a salt wife in truth, he thought to himself as he slid his fingers through her tangled hair. Once. When we still kept the Old Way, lived by the axe instead of the pick, taking what we would, be it wealth, women, or glory. In those days, the ironborn did not work mines; that was labor for the captives brought back from the hostings, and so too the sorry business of farming and tending goats and sheep. War was an ironman’s proper trade. The Drowned God had made them to reave and rape, to carve out kingdoms and write their names in fire and blood and song.Aegon the Dragon had destroyed the Old Way when he burned Black Harren, gave Harren’s kingdom back to the weakling rivermen, and reduced the Iron Islands to an insignificant backwater of a much greater realm. Yet the old red tales were still told around driftwood fires and smoky hearths all across the islands, even behind the high stone halls of Pyke. Theon’s father numbered among his titles the style of Lord Reaper, and the Greyjoy words boasted that We Do Not Sow.",Traditions and sex,0.9999999953541407,10225,"['Barbara Bracken', 'Harren Hoare', 'Calla Blackfyre']",[],"['Goren Greyjoy', 'Meera Reed', 'Category:Dragons', 'The Stonehouse']","[' Black Harren', ' Harren', ' Iron Islands', ' Pyke']"
"“That is good to know.” She was a pale husk of a woman, every line of her face etched with grief. “I am very weary, my lord. If I might have leave to rest, I should be thankful.”“To be sure,” Ser Rodrik said. “There is time enough for talk on the morrow.”When the morrow came, most of the morning was given over to talk of grains and greens and salting meat. Once the maesters in their Citadel had proclaimed the first of autumn, wise men put away a portion of each harvest… though how large a portion was a matter that seemed to require much talk. Lady Hornwood was storing a fifth of her harvest. At Maester Luwin’s suggestion, she vowed to increase that to a quarter.“Bolton’s bastard is massing men at the Dreadfort,” she warned them. “I hope he means to take them south to join his father at the Twins, but when I sent to ask his intent, he told me that no Bolton would be questioned by a woman. As if he were trueborn and had a right to that name.”",Traditions and sex,0.9999999968132718,10986,"['Edwell Celtigar', 'Daryn Hornwood', 'Rodrik Stark', 'Roose Bolton']",[],"['Rodrik Stark', 'Roose Bolton', 'Luwin']","[' Citadel', ' Hornwood', ' Dreadfort', ' Twins']"
"“Oh, but it does,” said Hallyne. “There is a vault below this one where we store the older pots. Those from King Aerys’s day. It was his fancy to have the jars made in the shapes of fruits. Very perilous fruits indeed, my lord Hand, and, hmmm, riper now than ever, if you take my meaning. We have sealed them with wax and pumped the lower vault full of water, but even so… by rights they ought to have been destroyed, but so many of our masters were murdered during the Sack of King’s Landing, the few acolytes who remained were unequal to the task. And much of the stock we made for Aerys was lost. Only last year, two hundred jars were discovered in a storeroom beneath the Great Sept of Baelor. No one could recall how they came there, but I’m sure I do not need to tell you that the High Septon was beside himself with terror. I myself saw that they were safely moved. I had a cart filled with sand, and sent our most able acolytes. We worked only by night, we—”“—did a splendid job, I have no doubt.” Tyrion placed the jar he’d been holding back among its fellows. They covered the table, standing in orderly rows of four and marching away into the subterranean dimness. And there were other tables beyond, many other tables. “These, ah, fruits of the late King Aerys, can they still be used?”",Traditions and sex,0.9999999968132718,11542,"['Hallyne', 'Aenys Frey', 'Tyrion Lannister']",[],"['Jon Connington', 'Hallyne', 'Aenys Frey', 'Tyrion Lannister']","[' King', '�s Landing', ' Great Sept of Baelor']"
"“Oh, but it does,” said Hallyne. “There is a vault below this one where we store the older pots. Those from King Aerys’s day. It was his fancy to have the jars made in the shapes of fruits. Very perilous fruits indeed, my lord Hand, and, hmmm, riper now than ever, if you take my meaning. We have sealed them with wax and pumped the lower vault full of water, but even so… by rights they ought to have been destroyed, but so many of our masters were murdered during the Sack of King’s Landing, the few acolytes who remained were unequal to the task. And much of the stock we made for Aerys was lost. Only last year, two hundred jars were discovered in a storeroom beneath the Great Sept of Baelor. No one could recall how they came there, but I’m sure I do not need to tell you that the High Septon was beside himself with terror. I myself saw that they were safely moved. I had a cart filled with sand, and sent our most able acolytes. We worked only by night, we—”“—did a splendid job, I have no doubt.” Tyrion placed the jar he’d been holding back among its fellows. They covered the table, standing in orderly rows of four and marching away into the subterranean dimness. And there were other tables beyond, many other tables. “These, ah, fruits of the late King Aerys, can they still be used?”“Oh, yes, most certainly… but carefully, my lord, ever so carefully. As it ages, the substance grows ever more, hmmmm, fickle, let us say. Any flame will set it afire. Any spark. Too much heat and jars will blaze up of their own accord. It is not wise to let them sit in sunlight, even for a short time. Once the fire begins within, the heat causes the substance to expand violently, and the jars shortly fly to pieces. If other jars should happen to be stored in the same vicinity, those go up as well, and so—”",Traditions and sex,0.9999999968132718,11543,"['Hallyne', 'Aenys Frey', 'Tyrion Lannister']",[],"['Jon Connington', 'Hallyne', 'Aenys Frey', 'Tyrion Lannister']","[' King', '�s Landing', ' Great Sept of Baelor']"
"“Oho.” She grinned. “I’d best be careful. This lordling has a honeyed tongue.”“Taste it and see.”“Is it that way, then?” she said, eyeing him boldly. There were women on the Iron Islands—not many, but a few—who crewed the longships along with their men, and it was said that salt and sea changed them, gave them a man’s appetites. “Have you been that long at sea, lordling? Or were there no women where you came from?”“Women enough, but none like you.”“And how would you know what I’m like?”“My eyes can see your face. My ears can hear your laughter. And my cock’s gone hard as a mast for you.”",Cunning remarks,0.9999999953541407,12209,[],[],[],[' Iron Islands']
"The longship was so new that she still smelled of pitch and resin. His uncle Aeron would bless her on the morrow, but Theon had ridden over from Pyke to get a look at her before she was launched. She was not so large as Lord Balon’s own Great Kraken or his uncle Victarion’s Iron Victory, but she looked swift and sweet, even sitting in her wooden cradle on the strand; lean black hull a hundred feet long, a single tall mast, fifty long oars, deck enough for a hundred men… and at the prow, the great iron ram in the shape of an arrowhead. “Sigrin did me good service,” he admitted. “Is she as fast as she looks?”",Intimate moments,0.9999999953541407,12221,"['Sigorn', 'Cregan Karstark', 'Garth the Gardener', 'The Stonehouse', 'Victarion Greyjoy', 'Urragon III Greyiron']",[],"['Sigorn', 'Balon Botley', 'The Stonehouse', 'Victor the Valiant']",[' Pyke']
"The longship was so new that she still smelled of pitch and resin. His uncle Aeron would bless her on the morrow, but Theon had ridden over from Pyke to get a look at her before she was launched. She was not so large as Lord Balon’s own Great Kraken or his uncle Victarion’s Iron Victory, but she looked swift and sweet, even sitting in her wooden cradle on the strand; lean black hull a hundred feet long, a single tall mast, fifty long oars, deck enough for a hundred men… and at the prow, the great iron ram in the shape of an arrowhead. “Sigrin did me good service,” he admitted. “Is she as fast as she looks?”“Faster—for a master that knows how to handle her.”“It has been a few years since I sailed a ship.” And I’ve never captained one, if truth be told. “Still, I’m a Greyjoy, and an ironman. The sea is in my blood.”“And your blood will be in the sea, if you sail the way you talk,” she told him.“I would never mistreat such a fair maiden.”“Fair maiden?” She laughed. “She’s a sea bitch, this one.”",Traditions and sex,0.9999999953541407,12225,"['Sigorn', 'Cregan Karstark', 'Garth the Gardener', 'The Stonehouse', 'Victarion Greyjoy', 'Urragon III Greyiron']",[],"['Sigorn', 'Balon Botley', 'The Stonehouse', 'Goren Greyjoy', 'Victor the Valiant']",[' Pyke']
"Old Botley, who was called Fishwhiskers, sat scowling by his pile of plunder while his three sons added to it. One of them was in a shoving match with a fat man named Todric, who was reeling among the slain with a horn of ale in one hand and an axe in the other, clad in a cloak of white foxfur only slightly stained by the blood of its previous owner. Drunk, Theon decided, watching him bellow. It was said that the ironmen of old had oft been blood-drunk in battle, so berserk that they felt no pain and feared no foe, but this was a common ale-drunk.“Wex, my bow and quiver.” The boy ran and fetched them. Theon bent the bow and slipped the string into its notches as Todric knocked down the Botley boy and flung ale into his eyes. Fishwhiskers leapt up cursing, but Theon was quicker. He drew on the hand that clutched the drinking horn, figuring to give them a shot to talk about, but Todric spoiled it by lurching to one side just as he loosed. The arrow took him through the belly.",Intimate moments,0.9999999968132718,13716,"['Todric', 'The Stonehouse']",[],"['Balon Botley', 'Todric', 'The Stonehouse']",['ley']
"His limp body was being dragged from the surf when Theon returned to his Sea Bitch. The masts of his longships stood outlined against the sky along the pebbled beach. Of the fishing village, nothing remained but cold ashes that stank when it rained. The men had been put to the sword, all but a handful that Theon had allowed to flee to bring the word to Torrhen’s Square. Their wives and daughters had been claimed for salt wives, those who were young enough and fair. The crones and the ugly ones had simply been raped and killed, or taken for thralls if they had useful skills and did not seem likely to cause trouble.Theon had planned that attack as well, bringing his ships up to the shore in the chill darkness before the dawn and leaping from the prow with a longaxe in his hand to lead his men into the sleeping village. He did not like the taste of any of this, but what choice did he have?",Intimate moments,0.9999999953541407,13727,"['Torgon Greyiron', 'The Stonehouse']",[],['The Stonehouse'],"[' Torrhen', 's Square']"
